a66_id	main_id	ra	dec	otype	identifier
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"TIC 647451737"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"Gaia DR2 4186077574260953984"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"Gaia DR3 4186077574260953984"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"GALEX J191917.6-121437"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"GALEX J191917.7-121436"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"GSC2 S303321215212"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"PK 025-11  1"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"PN A55   47"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"PN A66   60"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"PN ARO  314"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"PN G025.0-11.6"
"PN A66   60"	"PN A66   60"	289.82412779929996	-12.243369065190002	"PN"	"PN VV'  493"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"CSI+46-19177"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"Gaia DR2 2127684982639844224"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"Gaia DR3 2127684982639844224"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"GALEX J191909.9+461449"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"GALEX J191910.2+461451"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"GEN# +6.20056061"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"GSC2 N030311352878"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"KIC 9583158"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"NSV 11917"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PK 077+14"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PK 077+14  1"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PN A55   49"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PN A66   61"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PN G077.6+14.7"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PN VV'  495"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"PSO J289.7925+46.2477"
