oid	hd_id	sao_id
1485064	"HD  10045"	"SAO  74845"
1835949	"HD 100451"	"SAO 202563"
3233345	"HD 100452"	"SAO 239163"
3233627	"HD 100453"	"SAO 239162"
3233649	"HD 100454"	"SAO 239160"
1828149	"HD 100456"	"SAO 118923"
1832933	"HD 100457"	"SAO 138270"
1835122	"HD 100458"	"SAO 179983"
1835403	"HD 100459"	"SAO 179984"
1454433	"HD  10046"	"SAO  92548"
1835439	"HD 100460"	"SAO 179985"
1835664	"HD 100461"	"SAO 179986"
3233611	"HD 100464"	"SAO 239164"
3234276	"HD 100465"	"SAO 239165"
551806	"HD 100469"	"SAO  28058"
1316952	"HD  10047"	"SAO 147920"
1820320	"HD 100470"	"SAO  62604"
1826739	"HD 100471"	"SAO 118925"
1835677	"HD 100474"	"SAO 179987"
11633295	"HD 100476"	"SAO 239167"
3233327	"HD 100477"	"SAO 239166"
1269964	"HD  10048"	"SAO 167187"
3272587	"HD 100483"	"SAO 256851"
3272633	"HD 100484"	"SAO 258614"
590906	"HD 100485"	"SAO  43806"
1826212	"HD 100486"	"SAO  99666"
1835150	"HD 100489"	"SAO 179989"
1183038	"HD  10049"	"SAO 193214"
1835381	"HD 100490"	"SAO 179988"
1835405	"HD 100491"	"SAO 179990"
1836965	"HD 100493"	"SAO 222863"
1838150	"HD 100494"	"SAO 222862"
3237341	"HD 100495"	"SAO 251455"
1156573	"HD  10050"	"SAO 193212"
1156573	"HD  10050"	"SAO 193213"
1835684	"HD 100500"	"SAO 179992"
1835928	"HD 100501"	"SAO 179991"
1835950	"HD 100502"	"SAO 202568"
1836210	"HD 100503"	"SAO 202569"
3214904	"HD 100504"	"SAO 222864"
1825761	"HD 100509"	"SAO  99667"
3181772	"HD  10051"	"SAO 232478"
1827341	"HD 100510"	"SAO 118928"
1836243	"HD 100511"	"SAO 202571"
1836768	"HD 100512"	"SAO 202570"
3214906	"HD 100513"	"SAO 222865"
3270753	"HD 100516"	"SAO 251456"
1824817	"HD 100517"	"SAO  81880"
1826682	"HD 100518"	"SAO  99668"
1831966	"HD 100519"	"SAO 138272"
3181536	"HD  10052"	"SAO 232477"
1834618	"HD 100520"	"SAO 156752"
1836219	"HD 100523"	"SAO 202572"
1836976	"HD 100524"	"SAO 222867"
1836977	"HD 100525"	"SAO 222868"
3232967	"HD 100526"	"SAO 239170"
3233583	"HD 100527"	"SAO 239168"
3234250	"HD 100528"	"SAO 239169"
83917	"HD  10053"	"SAO  22480"
3237376	"HD 100530"	"SAO 251458"
409169	"HD 100532"	"SAO   7381"
462590	"HD 100533"	"SAO  15557"
485846	"HD 100534"	"SAO  15556"
1825762	"HD 100535"	"SAO  99669"
1833586	"HD 100536"	"SAO 138273"
1834633	"HD 100537"	"SAO 156754"
1834645	"HD 100538"	"SAO 156755"
1834925	"HD 100539"	"SAO 156753"
83949	"HD  10054"	"SAO  22479"
1836978	"HD 100540"	"SAO 222869"
3233588	"HD 100541"	"SAO 239171"
3236897	"HD 100544"	"SAO 251459"
3271496	"HD 100546"	"SAO 251457"
590322	"HD 100548"	"SAO  43808"
1824467	"HD 100549"	"SAO  81881"
1596896	"HD  10055"	"SAO  37403"
1833906	"HD 100551"	"SAO 156756"
1834610	"HD 100552"	"SAO 156757"
1835951	"HD 100553"	"SAO 202577"
1836498	"HD 100554"	"SAO 202574"
3215179	"HD 100555"	"SAO 222870"
3233233	"HD 100558"	"SAO 239174"
3233613	"HD 100559"	"SAO 239173"
1535406	"HD  10056"	"SAO  54866"
503986	"HD 100561"	"SAO  15558"
569589	"HD 100562"	"SAO  28062"
1827742	"HD 100563"	"SAO 118929"
1831963	"HD 100564"	"SAO 138274"
1831985	"HD 100565"	"SAO 138275"
1834625	"HD 100566"	"SAO 156758"
1835428	"HD 100568"	"SAO 179993"
1836958	"HD 100569"	"SAO 202578"
1406971	"HD  10057"	"SAO 110024"
3214922	"HD 100570"	"SAO 222871"
409129	"HD 100573"	"SAO   7383"
428422	"HD 100574"	"SAO   7382"
428422	"HD 100574A"	"SAO   7382"
485837	"HD 100575"	"SAO  15559"
610756	"HD 100576"	"SAO  43811"
1826247	"HD 100577"	"SAO  99671"
1833910	"HD 100578"	"SAO 156760"
1834902	"HD 100579"	"SAO 156759"
1835417	"HD 100581"	"SAO 179997"
1835644	"HD 100582"	"SAO 179996"
1835665	"HD 100583"	"SAO 179994"
1835899	"HD 100584"	"SAO 179995"
1835952	"HD 100585"	"SAO 202579"
1836528	"HD 100586"	"SAO 202580"
1836979	"HD 100587"	"SAO 222874"
3215180	"HD 100588"	"SAO 222872"
3232961	"HD 100589"	"SAO 222873"
1347098	"HD  10059"	"SAO 129419"
3233332	"HD 100590"	"SAO 239178"
3235271	"HD 100591"	"SAO 239175"
3235352	"HD 100592"	"SAO 239176"
462588	"HD 100596"	"SAO  15560"
590323	"HD 100597"	"SAO  43812"
1822150	"HD 100598"	"SAO  62608"
1824460	"HD 100599"	"SAO  81883"
302810	"HD   1006"	"SAO     41"
1347609	"HD  10060"	"SAO 129420"
1825306	"HD 100600"	"SAO  99673"
1825305	"HD 100600C"	"SAO  99672"
1831975	"HD 100601"	"SAO 138276"
1835908	"HD 100604"	"SAO 179998"
1836211	"HD 100605"	"SAO 202582"
1836499	"HD 100606"	"SAO 202581"
3214923	"HD 100607"	"SAO 222876"
3232947	"HD 100609"	"SAO 222875"
3233628	"HD 100611"	"SAO 239179"
3235353	"HD 100613"	"SAO 239177"
551801	"HD 100615"	"SAO  28064"
1818941	"HD 100616"	"SAO  43814"
1826233	"HD 100617"	"SAO  99674"
1831986	"HD 100619"	"SAO 138277"
3243835	"HD  10062"	"SAO 258268"
1834626	"HD 100620"	"SAO 156761"
1835125	"HD 100621"	"SAO 180000"
1835909	"HD 100622"	"SAO 179999"
1836244	"HD 100623"	"SAO 202583"
1836516	"HD 100624"	"SAO 202585"
1836769	"HD 100625"	"SAO 202584"
1838129	"HD 100626"	"SAO 222878"
1838138	"HD 100627"	"SAO 222877"
1829906	"HD 100629"	"SAO 138280"
108542	"HD  10063"	"SAO  22481"
1831987	"HD 100630"	"SAO 138278"
1833894	"HD 100631"	"SAO 156762"
1835407	"HD 100633"	"SAO 180002"
3234251	"HD 100637"	"SAO 239180"
3238894	"HD 100638"	"SAO 251460"
391569	"HD 100639"	"SAO   7385"
47125	"HD  10064"	"SAO  37408"
447985	"HD 100640"	"SAO  15566"
485817	"HD 100641"	"SAO  15564"
1819494	"HD 100642"	"SAO  43815"
1822930	"HD 100643"	"SAO  62611"
1827333	"HD 100644"	"SAO 118930"
1829897	"HD 100645"	"SAO 138283"
1832950	"HD 100646"	"SAO 138282"
1834904	"HD 100647"	"SAO 156763"
1835408	"HD 100648"	"SAO 180004"
1835910	"HD 100649"	"SAO 180003"
1504741	"HD  10065"	"SAO  74847"
1836232	"HD 100650"	"SAO 202588"
3214892	"HD 100651"	"SAO 222879"
409130	"HD 100653"	"SAO   7386"
1821240	"HD 100654"	"SAO  62613"
1824833	"HD 100655"	"SAO  81886"
1825264	"HD 100656"	"SAO  99676"
1826225	"HD 100657"	"SAO  99677"
1831976	"HD 100659"	"SAO 138284"
1425541	"HD  10066"	"SAO 110027"
1833895	"HD 100660"	"SAO 156765"
1836220	"HD 100661"	"SAO 202589"
3233234	"HD 100663"	"SAO 239183"
3234278	"HD 100664"	"SAO 239181"
3235354	"HD 100665"	"SAO 239182"
3237378	"HD 100666"	"SAO 251462"
551821	"HD 100667"	"SAO  28065"
1835655	"HD 100669"	"SAO 180005"
1279665	"HD  10067"	"SAO 167189"
1835937	"HD 100670"	"SAO 180006"
3214907	"HD 100671"	"SAO 222880"
3233204	"HD 100672"	"SAO 239190"
3233764	"HD 100673"	"SAO 239189"
3233630	"HD 100674"	"SAO 239187"
3234252	"HD 100675"	"SAO 239184"
533166	"HD 100678"	"SAO  28066"
1821247	"HD 100679"	"SAO  62614"
1212775	"HD  10068"	"SAO 193216"
1826226	"HD 100680"	"SAO  99678"
1834926	"HD 100682"	"SAO 156766"
1835954	"HD 100686"	"SAO 202595"
1836740	"HD 100687"	"SAO 202597"
1836770	"HD 100688"	"SAO 202594"
1838139	"HD 100689"	"SAO 222882"
3140817	"HD  10069"	"SAO 215585"
3233146	"HD 100691"	"SAO 239191"
3233207	"HD 100692"	"SAO 239192"
3234280	"HD 100693"	"SAO 239188"
3272902	"HD 100695"	"SAO 258615"
447986	"HD 100696"	"SAO  15567"
551807	"HD 100697"	"SAO  28067"
1827310	"HD 100699"	"SAO 118932"
5549531	"HD   1007"	"SAO   4069"
1827334	"HD 100700"	"SAO 118933"
1832934	"HD 100701"	"SAO 138286"
1833588	"HD 100702"	"SAO 138285"
1834927	"HD 100706"	"SAO 156767"
1835127	"HD 100707"	"SAO 180007"
3232950	"HD 100708"	"SAO 222883"
3233112	"HD 100709"	"SAO 239194"
3233208	"HD 100710"	"SAO 239195"
3235273	"HD 100712"	"SAO 239193"
3235560	"HD 100713"	"SAO 251463"
3272601	"HD 100715"	"SAO 256852"
409131	"HD 100716"	"SAO   7388"
1826252	"HD 100717"	"SAO  99681"
9330	"HD  10072"	"SAO  37406"
1835419	"HD 100720"	"SAO 180008"
1836519	"HD 100721"	"SAO 202599"
3233236	"HD 100724"	"SAO 239196"
3233237	"HD 100725"	"SAO 239197"
1825290	"HD 100726"	"SAO  99682"
1826729	"HD 100727"	"SAO 118935"
1827335	"HD 100728"	"SAO 118934"
1834635	"HD 100729"	"SAO 156768"
1578135	"HD  10073"	"SAO  54871"
1835409	"HD 100730"	"SAO 180011"
1835429	"HD 100731"	"SAO 180009"
3214925	"HD 100733"	"SAO 222887"
3234216	"HD 100735"	"SAO 239198"
3237252	"HD 100736"	"SAO 251464"
462591	"HD 100738"	"SAO  15569"
1824461	"HD 100739"	"SAO  81889"
1546863	"HD  10074"	"SAO  54870"
1826683	"HD 100740"	"SAO  99683"
1829907	"HD 100741"	"SAO 138287"
1833899	"HD 100742"	"SAO 156771"
1834619	"HD 100743"	"SAO 156769"
1834936	"HD 100745"	"SAO 156770"
1835128	"HD 100746"	"SAO 180012"
1835142	"HD 100747"	"SAO 180013"
1835440	"HD 100748"	"SAO 180014"
1836771	"HD 100749"	"SAO 202600"
1249132	"HD  10075"	"SAO 167188"
3214887	"HD 100750"	"SAO 222888"
3233113	"HD 100751"	"SAO 239200"
1824013	"HD 100754"	"SAO  81888"
1834620	"HD 100755"	"SAO 156772"
1836213	"HD 100756"	"SAO 202605"
1183029	"HD  10076"	"SAO 193215"
3270511	"HD 100760"	"SAO 251465"
1824841	"HD 100761"	"SAO  81890"
1827718	"HD 100762"	"SAO 118937"
1828170	"HD 100763"	"SAO 118936"
1834621	"HD 100764"	"SAO 156773"
1834629	"HD 100765"	"SAO 156774"
1834916	"HD 100766"	"SAO 156775"
1835668	"HD 100768"	"SAO 180015"
1836758	"HD 100769"	"SAO 202606"
3140829	"HD  10077"	"SAO 215586"
1838151	"HD 100770"	"SAO 222890"
3232964	"HD 100771"	"SAO 222889"
3233114	"HD 100772"	"SAO 239201"
3235562	"HD 100773"	"SAO 251466"
1823975	"HD 100775"	"SAO  81892"
1827336	"HD 100776"	"SAO 118938"
1831977	"HD 100777"	"SAO 138288"
1835685	"HD 100779"	"SAO 180016"
3167943	"HD  10078"	"SAO 232480"
1835930	"HD 100780"	"SAO 180018"
1835938	"HD 100781"	"SAO 180017"
1836521	"HD 100782"	"SAO 202609"
1836520	"HD 100783"	"SAO 202607"
3214893	"HD 100784"	"SAO 222892"
3232614	"HD 100785"	"SAO 222891"
3233116	"HD 100786"	"SAO 239204"
3233148	"HD 100787"	"SAO 239202"
3233210	"HD 100788"	"SAO 239203"
3181773	"HD  10079"	"SAO 232479"
409132	"HD 100795"	"SAO   7391"
1822931	"HD 100796"	"SAO  62620"
1826229	"HD 100797"	"SAO  99686"
1826741	"HD 100798"	"SAO 118941"
